country,rank,spi,rank_bhn,bhn,rank_fw,fw,rank_opp,opp,
Norway,1,88.36,9,94.8,1,88.46,9,81.82,
Sweden,2,88.06,8,94.83,3,86.43,5,82.93,
Switzerland,3,87.97,2,95.66,2,86.5,10,81.75,
Iceland,4,87.62,6,95,4,86.11,11,81.73,
New Zealand,5,87.08,17,92.87,6,82.77,2,85.61,
Canada,6,86.89,7,94.89,14,79.22,1,86.58,
Finland,7,86.75,3,95.05,8,82.58,7,82.63,
Denmark,8,86.63,1,96.03,7,82.63,12,81.23,
Netherlands,9,86.5,9,94.8,5,83.81,13,80.88,
Australia,10,86.42,13,93.73,12,79.98,3,85.55,
United Kingdom,11,84.68,19,92.22,15,79.04,6,82.78,
Ireland,12,84.66,15,93.68,29,76.34,4,83.97,
Austria,13,84.45,4,95.04,9,82.53,18,75.77,
Germany,14,84.04,12,94.12,10,81.5,16,76.49,
Japan,15,83.15,5,95.01,20,78.78,19,75.66,
United States,16,82.85,21,91.23,35,75.15,8,82.18,
Belgium,17,82.83,13,93.73,27,76.57,14,78.19,
Portugal,18,81.91,18,92.81,31,76.17,15,76.76,
Slovenia,19,81.62,16,92.88,11,80.87,24,71.12,
Spain,20,81.17,23,91.09,26,76.79,20,75.62,
France,21,80.82,22,91.16,17,78.83,23,72.46,
Czech Republic,22,80.59,11,94.23,15,79.04,27,68.49,
Estonia,23,80.49,28,88.44,13,79.61,22,73.42,
Uruguay,24,79.21,37,86.18,36,75.03,17,76.41,
Slovakia,25,78.45,20,92.19,19,78.8,35,64.35,
Chile,26,78.29,35,86.32,38,74.85,21,73.69,
Poland,27,77.98,34,86.67,24,77.19,26,70.07,
Costa Rica,28,77.88,41,84.22,17,78.83,25,70.59,
Korea,29,77.7,26,89.11,34,75.6,28,68.4,
Cyprus,30,77.45,25,89.3,33,75.95,29,67.11,
Italy,31,77.38,29,88.39,25,77,30,66.76,
Hungary,32,74.8,27,88.8,62,70.4,33,65.21,
Latvia,33,74.12,42,83.84,21,77.76,42,60.75,
Greece,34,74.03,31,87.64,42,74.53,43,59.91,
Lithuania,35,74,43,83.75,39,74.79,36,63.47,
Mauritius,36,73.66,30,88.02,53,72.09,40,60.88,
Croatia,37,73.3,32,87.49,32,76.09,52,56.32,
Argentina,38,73.08,54,80.51,47,73.57,34,65.17,
United Arab Emirates,39,72.79,24,89.63,43,74.16,57,54.59,
Israel,40,72.6,33,86.96,48,72.99,49,57.85,
Panama,41,71.79,67,75.91,22,77.55,38,61.9,
Brazil,42,70.89,74,71.14,30,76.21,32,65.33,
Bulgaria,43,70.19,40,84.73,66,69.57,53,56.29,
Jamaica,44,69.83,78,70.52,49,72.84,31,66.14,
Serbia,45,69.79,45,83.38,40,74.74,63,51.25,
Malaysia,46,69.55,38,86.13,37,74.87,76,47.66,
Kuwait,47,69.19,36,86.28,44,73.96,77,47.35,
Montenegro,48,69.01,50,81.89,53,72.09,58,53.04,
Colombia,49,68.85,77,70.98,23,77.3,47,58.26,
Romania,50,68.37,63,77.35,58,71.53,54,56.24,
Ecuador,51,68.25,72,73.56,28,76.46,56,54.72,
Albania,52,68.19,53,80.71,46,73.64,68,50.23,
Macedonia,53,67.79,44,83.53,80,67.04,59,52.8,
Mexico,54,67.5,73,72.81,71,68.82,40,60.88,
Peru,55,67.23,79,69.89,45,73.89,48,57.92,
Paraguay,56,67.1,76,71.11,59,71.11,45,59.09,
Thailand,57,66.34,68,75.77,51,72.35,65,50.9,
Turkey,58,66.24,51,81.5,83,66.61,67,50.61,
Bosnia and Herzegovina,59,66.15,39,85.78,63,70.35,94,42.33,
Georgia,60,65.89,55,80.15,65,69.61,75,47.92,
Armenia,61,65.7,49,82.6,68,69.28,83,45.24,
Ukraine,62,65.69,60,78.28,97,61.74,50,57.05,
South Africa,63,65.64,92,64.59,64,69.94,37,62.38,
Philippines,64,65.46,83,68.23,70,68.86,44,59.3,
Botswana,65,65.22,89,65.51,57,71.69,46,58.46,
Belarus,66,64.98,46,83.03,82,66.72,85,45.19,
Tunisia,67,64.92,52,81.13,73,68.43,84,45.2,
El Salvador,68,64.31,82,68.38,72,68.81,55,55.75,
Saudi Arabia,69,64.27,47,82.87,61,70.46,107,39.49,
Moldova,70,63.68,62,77.65,90,64.85,73,48.54,
Russia,71,63.64,70,74.1,77,67.63,70,49.19,
Venezuela,72,63.45,87,66.12,41,74.69,69,49.55,
Bolivia,73,63.36,85,67.24,60,70.86,61,51.98,
Jordan,74,63.31,48,82.63,89,64.93,93,42.38,
Namibia,75,62.71,100,59.73,56,71.93,51,56.47,
Azerbaijan,76,62.62,66,76.43,76,68.03,88,43.41,
Dominican Republic,77,62.47,91,64.8,55,71.95,66,50.65,
Nicaragua,78,62.2,88,65.87,52,72.17,72,48.58,
Guatemala,79,62.19,80,69.32,69,68.96,74,48.29,
Lebanon,80,61.85,69,75.69,87,65.89,86,43.97,
Mongolia,81,61.52,103,58.36,92,64.49,39,61.71,
Honduras,82,61.44,90,65.29,50,72.71,79,46.32,
Kazakhstan,83,61.38,64,77.17,110,58.21,71,48.75,
Cuba,84,60.83,56,80.08,105,60.51,97,41.9,
Algeria,85,60.66,58,78.88,85,66.22,113,36.87,
Indonesia,86,60.47,86,66.52,67,69.54,82,45.35,
Guyana,87,60.42,81,68.8,104,60.57,62,51.89,
Sri Lanka,88,60.1,75,71.12,81,67.03,95,42.14,
Egypt,89,59.91,61,77.69,78,67.59,118,34.47,
Uzbekistan,90,59.71,57,79.31,118,54.25,81,45.56,
Morocco,91,59.56,65,76.64,93,64.14,112,37.89,
China,92,59.07,71,73.74,88,65.4,110,38.08,
Kyrgyzstan,93,58.58,84,67.87,101,61.16,78,46.7,
Ghana,94,58.29,105,55.5,73,68.43,64,50.93,
Iran,95,56.82,59,78.42,102,61.14,121,30.9,
Tajikistan,96,56.49,95,62.58,94,63.09,87,43.79,
Senegal,97,56.46,99,60.35,86,65.97,90,43.07,
Nepal,98,55.33,96,62.54,96,62.71,102,40.74,
Cambodia,99,53.96,106,53.86,79,67.52,104,40.52,
Bangladesh,100,53.39,97,61.94,95,62.73,115,35.5,
India,101,53.06,101,58.87,113,57.38,91,42.93,
Laos,102,52.41,98,60.43,98,61.7,117,35.09,
Lesotho,103,52.27,111,48.62,116,55.82,60,52.35,
Kenya,104,51.67,117,46.48,75,68.17,105,40.36,
Zambia,105,51.62,121,43.87,91,64.82,80,46.19,
Rwanda,106,51.6,108,52.52,103,60.63,99,41.67,
